,text
105973,"AHHH! i hate making decitions that are lose, lose. "
244837,@Atlanta_Steam watching the game at my place in Brookhaven wouldn't mind watching the 2nd half at a bar 
316771,@TerrellPenny lol..oh please u dont even call me 
174056,@iChelz lucky biatch.Im hungry.Eating noodles. 
459313,missing out on a few parties tonight.  Suddenly resenting living so far out of town.
48963,@AnnaMariaPdT the picture on your background looks gorgeous 
275267,@nickymason @CMNHTN  W&amp;F is working on a huge Halloween show for Portland.  You two may be interested in what we're doing    *hint hint*
233693,"Today's weather has been quite unstable the whole afternoon, I gotta admit. "
185440,@SunnyNici I know!   We went out last night so I had today off work.  Hubby &amp;son went out early. I woke at 9am (to coffee) and then read! 
383877,@salspizza yep those tests were in jan  so will know if i still have a heart today LOL
159221,wildwindart WWW.COWGIRLONCOFFEE.COM is where I wanna be  Cowgirls on Coffe for me!!! Cowgirls  mmm... ;-p
502868,@MDSteelerGal I'm back. Did you unfollow me? 
289799,cold!! last night was looovely - so excited for next weekend 
127900,Post #lemans:  24 hour drive back to Denmark   Cousin has horrific sunburn - blisters the size of a fist and weeping - yuck!
406572,GOING 2 WORK MADDDDD TIRED 
457711,@pealuh I think I need to go to Twitterholics Anonymous...... 
121841,I'm hungry...and I don't wanna get outta bed I just want to be lazy! 
315391,@ShellyRenee  Im luvin the look please send us some music.
126332,"persuading dad to let me stay off school tomorrow, am genuinely unwell "
91095,Finally feeling no effect from virusy thing but neighbours woke me up with awful music. I retaliated. Electric guitars are great! 
303870,"is up, wishing i was sleep!  "
169093,oh my...i caught my puppy humping a teddy bear!!  hes too young for this...hes only 3 months
9790,Nooooo! Monday tomorrow. 
109295,someone slept on me 
187901,@DistrictOfAris I'm at home with the wife like the working stiff/old fart I am. 
295186,@miss_magenta  Congratulations. 
70303,"@abbyharenberg hey abby, thank you! glad you are well - have a great w/e "
111626,I spent so long making that Father's Day card for my dad. My hand hurts 
163324,is a BLT on the heart healthy menu? i guess its grilled chkn salad 4 me 
54475,@KatieRacette Oh I'm sorry. If I had the money I'd pay to fly you out. Sadly Sims 3 comes first. 
200732,@ilovebethcooper I think I like Seth&amp; Caleb. 
108812,@keithwoo hehe.. i wait for my dad to come back 1st.. 
4598,@MsAKAtainment Tired! But it;s later where you are 
63570,Hello twitter! Immm back 
219544,@AmeeraPaone Thanks!! I hope your day is good too!! but does that mean we can't keep chatting? 
182867,@Butterflyshoes I wont be seeing them till wednesday  ... tho I am off for a few days drinks and fun at my friends in poole :0)
425414,@Naz09 ey bro! how are things going? lets hang out sometime this weekend.. might not be able to be there on friday again. 
522124,is poorly sick 
305890,@prissyharajuku yes hun im in 4 the day .. im takn summa classes online &amp; i have 2 test due 2day ..ugh  shoutout 2 all my college barbies!
435005,mannn I wanna go to the laker parade 
288171,Chillaxin to some Mayday Parade maaayte! 
314265,"we could have asked MDH to sponsor the effort, I am sure they dont this kind of audience in their online campaign! #jaljeera "
31039,@PandaMayhem Yes u r girl 
280660,There's definitely something wrong with my twitter account! Not receiving tweets from any fellow tweeters! 
128174,Only bowling can make me happy now 
258230,"@raquelramosx i am onn auditioning, too bad auditions already happened! "
238685,I stopped following &quot;adwords&quot; column in tweetdeck   too many spam tweets
114051,Today I've played sandvolleyball with Ragnhild and Sofie and then we went to Sofie's and drank Smoothie 
495519,@euphoricdreamer Haha well at least it went to a good cause  and its always fun to shop 
104549,is barely awake today....so tired and have to go to work. 
244989,"@RyCoCo I'm weird. I have a bit of a phobia, images in binoculars, microscopes, IMAX movies all scare me.  No kidding! Like, to tears."
269532,Gonna take a short nap before the next game. Still can't get over the Egyptian loss 
28606,@greencupcake aww  everything ok?
131247,"Ok, it's after 1:30 a.m... I'm going to try to go to sleep again.  Maybe it will work this time.  5:30 am, here I come!  "
31900,@melissaox oh I'm laughing and sipping on a marg now! 
216549,"&quot;Never leave you, 'till my life is done. Baby, I love you, come... Come to my arms...&quot; "
87747,"@sierrabardot whaatttaatttt! she is a good cook and really creative, silly sierra "
368166,@AnnetteStatus OMG! thats all of my favorite bands!!! 
286435,@THE_REAL_SHAQ  Hillariouse 
306806,You almost need to check 2  things 1) Is the domain available and 2) Is the twitter ID available - or you could just add &quot;app&quot; to the end 
179426,No dollhouse tonight.   I'm cheering myself up with ANTM and pretzels with hummus.
74862,Annoyingly the 3 mobile broadband is crashing my macbook at least once a session. Why aren't new products tested properly on macs still 
517507,It's raining outside again 
514773,So tired after my leave. Don't want to go back to work 
465686,Why am I so tired this early? 
101099,@GilkisonWrigley Never made it home  Flight cancelled.
490917,@BibleAlsoSays �Let thy words be few.� Ecclesiastes 5:2 Twitter training from the Old Testament  -
421987,I decided to wear a jacket to feel warmer.. LOL 
452806,@weppos cool. mine is a bit outdated tho. 
159741,@C_Elizabethxo What nowwwww?  xoxo
296962,@DavidArchie please follow!! we are your fansite  we love you!!!
174386,Puch Serie D'Oro no.1...does it get any better? I think not 
408679,NEW FAVORITE SONG: BEFORE THE STORM - @Jonasbrothers ft. @mileycyrus cant wait to hear it completee! 
509903,turning in early tonight. CGA tmw w/ the asb famsss. gna miss janel &amp;lyla  LA on Sat morrrrning.
459029,the promotion was awesome!!!!!!!!i loved it.but now i hear ringing in my ear.yikes.im gonna miss all my friends not going to rb 
523774,Reblippin ya!  @tcallinan:  Incubus – I wish you were here ♫ http://blip.fm/~8a677
421414,Ordered some thai food but found out it wont come until 6 o'clock   don't want to cancel it because its going to be so good when it comes
346437,"Just got home from work, too tired "
352675,@Dgymn  Hurrah for the love
435167,"I don't want to update because I have 69 updates.... but inevitable, I suppose. "
77975,niiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiight! see ya'll tomorrow night! 
415981,My connection is still slow.. Seems it will be sorted only on Monday.. BSNL guys! 
274669,I think that i felt in love with...you dont know me but i know you. you are all the time in my mind... I LOVE YOU.. you are so far away 
178965,@lizzieizzard Hope it was good 
261906,hey @mariewilkinson still no sign of the hair products  - there has been a postal strike on but still got some ebay packages last week...
487472,@mabs0 you're a good person too 
470120,@silkesmooth1803 girl at 6 but I hvnt taken my break so after that hour I hope times goes fast I wanna go to sleep  work n i dnt mix
70376,my tweets are falling by the wayside.   haha  my tailbone hurts.
134209,"@ work , raining day  2 day of darkness"
209660,soo wishing I could be at the French Open....not this year 
386994,"@JoelMadden if you have a party, use a hash tag for it so people can track it  like #jmadparty"
143729,@ubank Still no sign of my uBank USB 
4046,has the best boyfriend ever!! 
345541,Mornings...who needs em. 
235831,ambular is leaving today... so sad 
364378,@mileycyrus Heyy  Biggest fan  your movie was the best.. you okayy??
136503,"@RubenBeaut wish i were there, i may walk over, i'm out injured  (and grumpy...such an endorphine junky)"
363382,got a throat infection 
498511,huh so Joe Cole's wedding will take place this saturday? @nanashambles hold me please i'm gonna bawl my eyes out 
241842,@Mottoblasco YIPPEE! You have such adorable babies!!!! We need MORE babies at LifeCo. 
24280,"@pink_cashmere I know..the bug eating, ech. lol. I miss watching good tv. Get me out of here..fake, fake and boring. bring back good tv "
65026,trying to install OS 3.0 but getting a network timeout from itunes 
338277,Saw Up!! Haha got some cool 3D glasses 
228920,By @fuseboxradio Check out the syndicated FuseBox Radio Broadcast's archives here - http://ow.ly/2m4Z!  Thanks! #blackradio #-music #h ...
347331,I wish he was here 
62941,I just got upsetting news about my cat since 16 or so years back. Mum phoned and said he stopped eating and drinking 
449473,"Have to wait till Friday to pick up my Visa for China- not as expedited as I would have hoped, but at it's done   #geeksonaplane"
241909,"@hayragg that would be me senior  but my account got fixed right after i used his account to own all of you, so im back here :]"
197644,"@shanedawson Follow me, pleasee. "
349151,Eating my cheesecake wishing @iKayBe was here. 
114388,@CarpeDiemMag awesome. How can I feature what I'm doing in your magazine and get what your doing on my site? Let's work this out 
174726,the hobos with the puppies get me every cotdamn time   http://twitpic.com/61fc1
315235,@Jonasbrothers HEY I THOUGHT HONOR SOCITY WAS ON THE WORLD TOUR. EVEN UK DATES?! I HAVE BEEN TOLD NOT 
137587,Woke up.  Baseball today.  Be there and then I gotta mow the grass.  
136616,@ikki_oo Thank you  I shall return the favour!
408826,"Our windows #Homeserver now with 1,5 Terabytes Memory "
192808,"is all DONE !, anything else ill worry about tomarrow.. -__- bt for now goodnighhttt worldd ! "
320136,is tweaking vb / sql scripts again... 
359604,after show at our house rocked! saying goodbye soon 
277858,"@DerrenLitten Sooorrrryyyyyy, I was joking.  We are experiencing technical problems   We DO believe you "
478287,@shachabu seeya later lowla! 
492521,"@lizzieth Sincerely I hate Goodbyes... but this time, could be a sweet one "
221044,I really need to get showtime... Not watching Nurse Jackie 
475050,"Rubbish, just found out 2.5 people are going to be made redundant at work. "
378520,@IAmJMAck  just google baller LOL - thought maybe it was something naughty LOLOLOL  Thanks!  
135295,@fujoshilvup I know what you mean. the Makka na Ito one makes me tear up every single time. 
135201,@gabehabe i dont think i could do that  maybe a town map but the houses and sprites...
490956,Enjoing twitter. Woah! 
138099,Oh.. I almost forgot the show.. 
278623,@tommcfly and we just love to hear your laugh 
68267,@bothechamp sooooooooooooooooooooooooooooooooooooooooooo happy to see u the other day! yay i did it  i wish @wale was there
396477,"Fuckin tangerine tree, scrapped the shit outta meee "
152672,@PaulyMShore Hey Pauly   Coming back to Omaha anytime soon?
131427,@rachelvictoriaa  I've heard baby powder helps too.  Cousin says it works. Sister says it doesn't.
167476,We work in a sweatshop now Ms. Louie!! 
283927,I think I need to work out. I can no longer lift my suitcase. 
17245,@dance4hollywood i love you princess! I miss you na! goodnight! 
107010,has a super massive headache 
312412,Oh mattress I forgot how you feel like  @DC_LEE thank you s.David!!!!
437829,"@alohanico SO many people spilled beer, drinks and such on me... i hate being so small in crowds "
366576,"Feels bad for my sister, her bf of one year just left for boot camp for 5 months. She so sad "
152760,@xlianax happy birthday! 18! I loveee you 
186076,ugh. never felt this depressed ever since. i'm going to miss danny 
75858,"Sunday, boring, Sunday.  It is nice out - but I'm just not very motivated.  I think cuz I have to go to work tonight "
292059,My dreams have been crushed...Spock does not like the ladies. 
366876,Coldstone &quot;lost&quot; order.  No fancy birthday cake for momma... Not good 
4686,"@BangersAndTrash HA! thanks. Indeed busy, too bad its not busy blogging!  But this weekend I'll play catch up!"
247490,"Actually, a puppy is too much expensive... Who wants to buy me a teddy bear???  It's cheaper, and i can call it Catatau too!! (y)"
478787,@dannygokey need a ride home? I can come pick you up 
295487,sometimes I am curious just how far I can be pushed before I break. seriously wondering if I might be close to that point 
183513,Just found out my abuelo had a stroke... He's in equador on vacay...  praying that everything ok....
279845,i neeever twittt anymore  laaaying out;*
83309,I'm sooo tired of being sick 
76950,@texasjackflash thnx 4 the follow 
499075,thinking 
384052,@thatiusstatic probably isnt great for it but mehhh i do it 
399660,was a little sad for an hour today but other then that.. wonderful day. 
453366,i don't understand how we can have so much school left and everyone else is on their exams? luckily I take mine a week early 
282283,...But right now I'm much more excited with HP6  Harry Potter is my childhood sweetheart. Edward Cullen will surely understand. Haha.
310012,@JusAnnieBabesz  I've spelt it like dt since college strtd. its cool innit lol  college is gd. finshd already. hw bout u? xxx
379373,@restrepita Hospital? What?! 
3322,Praying for my grandma! Hoping everything will be alright! Can't and don't want to go through this again 
295724,@evillemur ahhh I want to try your lychee martinis 
209399,@Remixx916 You're welcome and u also have a blessed day. Please keep me informed cause I LOVE supporting people.  ttyl
269622,"@HappyHippyMum omg, that could put you off dogs "
297484,was just at the mall and they had achy breaky heart playing... yus! love that song!! 
153628,"Damnit  I got excited... someone text me for the first time since friday, it was o2 FML"
199386,"Done editing, will finish the song + upload tmrw. Also, i'm scared to go down and get a snack cause thunder might attack me "
28528,Band practice  yay
407611,"I really didnt like what i had to read on the news today, made me sad    first time i've felt like chocking up as im reading the bully."
196549,Sexy man of the day is... Councilman John 
447949,I suppose I have to go to work. 
143195,@ashgen sounds good!! Can't wait 
444356,"@Elsbeth94 where r u from? i am from birmingham,england.  I WISH I COULD LIVE IN AMERICA!!!!!!!!!!!!!  :-0  :-D"
496873,"@lala003 i can't wait december when i'm gonna be in wien, i wanna eat the &quot;original&quot; schnitzel! "
190963,@EzeeEsquire Good Morning 
245682,I missed the MTV awards  so I'm watching it at 7:30 -sogg
214160,Oh that aime  
6188,Doesnt want to go into school  waiting for @brunetteriot3
79813,"@HHSteven that may be why you feel sick, jeez "
271348,Making deposits and such (bleh) then heading to Busch Gardens!! (but how much longer will it actually be Busch Gardens?) 
2891,"Everyone's aruguing! I hear everyone downstairs shouting at each other, then the bloody cats start outside. "
433035,@Jalen_Rose what u think about ur boy LeBron dipping after the game not sayin' nuthin 2 Dwight r the other Magic players? Ugh! 
111223,"@petemc Bugger me, it's still light here! Your sunsets must be really early "
255709,@txvisionary thanks darlin 
16364,making a legacy graphic 
346625,Disappointed @NKOTB: cancelled their concert 
299945,Still missing my bubba.  I hope he's okay... Gonna listen to David and sleep. He always calms me down. ♥ He is my angel. LOL. Goodnight.
472151,@fdevillamil can I get a Twitmark invite please? 
27920,i dont get twitter 
217817,@johnharkabus so true  and the whole thought of 'saving your self' is really cute. Ha. I saw it on tyra &amp; almost cried :')
185005,"@AlanBleiweiss Oh no, I have for posts written and scheduled to go out. I'm just not publishing tonight. "
342373,@Tiffanypjafan awwee ok   what ya doing now?
513653,Well i'm an idiot. Stayed out in the pool for way too long. Now i'm fried like a lobster. It hurts too  no fun
210842,Walking to central London from Tooting something I've always wanted to do.. Just reached the Thames  http://twitpic.com/69gnu
65239,Hammock camping... Gotta love it! Happy Friday everyone.  http://twitpic.com/5oy03
292934,"At school, chem test is first period "
74454,@TAG8109 Thank you so much I really appreciate it!  I am extremely focused on getting there- so thank you for noticing 
306465,Today feels like it will never end 
232182,"Season 2, second last episode of Gossip girl  Its ace."
45408,Vegas I'd like you to meet Sydney 
178199,@sheenashe That's the best way to eat 
211132,Had a great time last night @cckbrighton for a night of prayer. Off for a nice big breakfast/brunch with the nolanator this morning! 
120474,"i wish i were a better person sometimes, but i am who i am and I'm happy with that "
66315,glad to be home in my lovely house ... in my lovely bed  wish i didn't have exam tomorrow but once its done its done ... only 4 left 
156314,Seriously doubting I'l be able to get all these videos on the iPhone before I hafta leave 
144139,Trying to Finish Transition Sessions... 7 days to leave Madrid.. 
259981,"Wow, thats sad  Poor Trevor"
411743,@anyamanda sure  your teacher right. amin
324953,I use this to know how long I work on a piece: http://www.online-stopwatch.com/ 
306568,prop 8... unfortunate  this isn't even something we should be deciding.
104119,Laptop + a+ book adds major weight to the back 
44580,I been thinking for weeks like @sadexposed wasn't following me and 2 come find out she is im sooo stupid 
62526,@xBabyy_Angelx sucks doesn't it  xxx
246982,Lucy's bowels erupted while I was at work this morning 
56786,early morning headache 
190998,So quick update about &quot;Remeber me&quot; set today - Someone who is there just said that it is all inside shooting today &amp; u cant see a thing 
117606,I miss Nashville  But I'll be back in a couple weeks! Yeahh!
73243,@guybranum when's the next time you'll be on chelsea's show?? i LOVE watching it when you're on!! you're my favorite 
134650,@erylate I had nobody to play with though 
158905,@iNez16 i would be too if i were you but good thing im not 
88652,"@Ingenue_Em Well TT is over and done with now, and you survived it! "
159302,Happy 16th Birthday younger brother! 
226657,@TiaMowry WOW this means alot thanks T !!!  and i bet but thats cuase they LUV YOU!!
288310,HOME SWEET HOME at last ..this week end . I badly needed 1 
363892,revision 
239570,"dunno what I've done to my back, but it was hurting a lot yesterday, rather better this morning, but starting to hurt again now "
313208,@simplecake I have a not so secret crush on Gwen Cooper. 
474034,"ugh, i just licked my fingers after taking off my nail polish "
81540,I'm not sure there are too many megatons left to announce... We'll have to wait and see  #E3
334959,http://twitpic.com/6uk7x - Puppy at the pet store....isn't that the cutest? okay not the cutest...but cute 
399234,"I spent most of today's cognitive peak making the husband do the Canadian taxes, so none is left for program or admissions essay. "
348751,@valkyrie19 Thanks for the birthday wishes 
341312,"@Authentick  You got my message, right?"
108992,"@shanedawson You should Shane!  My mom's a single mom too, it'd be so cool if you made one. "
156991,@CodeRedfc I heard about those F1 split rumors yesterday... this can't be good 
79740,@OdaRygh How did your and Lindsay's late afternoon/evening/night turn out? Mega jealous.  Wii Fit is awesome though!
451645,@StewartKris  At least we got a new picture out of it!
258579,wondering if anyone has seen my cell phone i cant find it anywhere 
280960,But it's gone  I feel bad.
436653,@DUBBYDUB tell that to the alkis that woke me up saying bring liq  wat u doin.. Feel like makin a trip to my county n gettin ur sexy on
397087,Hangin' out with my boyfriend and his parents in our room 
233662,"work -10 hrs so far in 2 days i've been working, gonna be skint the week those wages go in "
319639,"@SonoranDragon @ellbeecee hehehe! love that song too  hopped on a boat in WoW, couldn't resist!"
294632,found out that i fractured my wrist last wednesday. in plaster and unsure if i can ride bmx nationals 
527500,@DavidFeng eh... have you ever stopped 'mass tweeting' ? 
447691,"@SylviaCherry Sylvia, the PhotoPlan link you posted is broken  How are things in Miami?"
290258,The comp deleted half my apps 
394197,no it doesn't 
318012,@asian_grumpy: you should have come to dennys 
111666,Hi Twitterpeeps  just made oaty bread in breadmaker - brilliant hot !
227701,"Have I said that I don't want finish the practices yet? If I could, I never would leave this school...   I want work there!!!"
309210,exhausted. going to sleep somewhat early tonight  finally. competition all day tomorrow :/ night!
223343,"To JH: I am sorry I always assume the worst, when I should just try being a friend. "
294678,At work...hahahaha...happy mothers day to all the mothers 
240824,i just lost a follower  ah well...   woot woot!
142410,tomorrow i prepare to fail  I don't understand any of it can't wait until its ok though 
396065,I`m sneezing and sneezing again and again :| I really feel sick 
508641,think I have yet another kidney infection 
448940,"Been waiting for Rads to ring,   its now 10pm its time for shower and bed"
413159,Thanks n you r the best executor @maynaseric so fast n friendly @tpr2 indeed it's cool  http://www.twitpic.com/5w6ge
467280,REALLY diggin the kings of leon album...too bad they already played philly 
191999,i always feel really fresh after a good workout 
173520,@uselesscah or made it up works too 
267472,@Lilylauren have fun on your day off! I'm looking forward to seeing photos of wildlife... Especially penguins 
56765,"...I was going to post up a picture of Flogging Molly...but I was so amazed, I forgot to take a picture...I fail!  "
299502,had the best weekend ever in Manchester and now have four new pairs of shoes to provide a home to 
229843,"Awesome! What a great way to go to bed, cruise pic &amp; @JonathanRKnight giving words of encouragement! Loves it  Thanks booboo!"
222068,go away pain 
193877,"hi everyone, another rainy day in toronto "
188449,is time to bath haha tomorrow school  i hate that only 9 days yeah ok see u latter twitters i going to take a fantastic bath
46987,Susan Boyle lost?  I hope she is given other deals. I want to hear more of her!
439446,it's rainy out there 
266298,Listening to classical music in jamie's car whild blowing bubbles out the window = one good break 
62552,@bonitaford half the plants I grow are on an invasive species list. management is key.    I use it for understory in the #forestgarden
422923,"@littlemunchkin  I hope you get better soon!!! It's possible, but the workaholics wouldn't like it. I'm fine thanks, avoiding revision lol"
40233,@NicolaWwilts I will be sending you a copy of this DVD the moment it is done. Yeah been a busy morning 
140115,no queenbee today 
110487,i wanna go back in time 
44985,@adelgabot How very reassuring that you're editing on an Excedrin-high. Viva la painkillers! 
359797,"@franky_fingers was at home   will b at the next one though, promise! Hope u cleaned my seat after u put ur feet all over it! One inch? x"
333665,@CjB_Productions You're welcome.  
488778,is confused as to whether @chrisdjmoyles is being axed or not  SO CONFUSING
358990,"almost home, can't wait to just snuggle up on the couch and relax with my dog and boyfriend "
143584,So Im a loser and I REALLY want to get a the coat that Vash wears. It would look so awesome with my skinny jeans... Sadly I cant afford 1 
516151,@N_e_h_a  don't we all need to watch for our phone usage now.  
475639,@mlplaura you've got more dancing muscles! I need to chat to you about Jem's meet soon hun 
405551,Oh no....I think I get a cold...   I hate a runny nose!!!!
163434,the sky is HORRIBLE! it reminds me of the weather in forks (twilight)  x
164191,"Goos Morning Neverland. Some patternwriting today, after coffee "
238370,"@idevelop ?i eu.  Pe c�t de pu?in �mi place Rom�nia, pe at�t de mult �i desconsider pe ?ia care se cred mai ?mecheri vorbind a?a."
61823,My 'donut fish' sandwich has been discontinued. 
435725,@bringxknives babar i home now 
40186,my cat is cleaning himself in front of me on MY bed. i got into a networking week for actors in hollywood but it's waaay too expensive 
409980,@Heartnet13 That's heartbreaking.  Booo.
440200,why wont my profile picture show up? its really frustrating and sad. i loved my su-fi 
19487,@dannygokey What a beautiful pic!!!!! Thank you for sharing with us!!! 
282246,@Suzyqbee10 indeed! I'm already at work so I miss the morning stuff and they frown at tvs at work.  But I do listen to Npr at my desk.
369511,life is awesome! 
527148,likes the Kanto Boys' performance! (heart) kaso malungkot si JLC eh  http://plurk.com/p/z0hcn
146864,TOO MANY SCHOOLWORK! I don't know if I'll survive high school. 
72310,@jimgaffigan http://twitpic.com/6uavh - Mr. Cheesy w/ Mr. Cheese! 
210022,Oh give up. 
88651,@hollybooch i already miss you. 
244278,geat weekend  now back to it...
454940,waaa. joe's scared of the rain  http://plurk.com/p/ozic4
484802,i think i'm going off already  need to go study + later got tuition! ARGH. hate school man!  anyw i have a follower you know! haha. bye
410993,Rest in peace Mr. David Carradine. You'll be missed. Someone actually &quot;killed&quot; Bill. Lame. 
338112,@BonesFan021 I don't have the link anymore.  Will you ask her to send it to me again.  Cleaned out my inbox and emptied trash can.  
420662,I'm still not really getting Twitter  Am i getting old?
391225,Sorry for raping yer twitters. 
84803,@theharleyworks yeah i just finished the season like five minutes ago!! ahhhh!! it was so crazy! yeah im on his message board. &quot;marrreee&quot; 
128525,just got done with hair therapy! sorta tired but no time to sleep work is calling 
40728,"Oh! Shit! Don't forget to watch an all new daisy of love!! I can't wait to see it, after I party with rockstars of coarse! "
218499,@DubarryMcFly My mum thinks the same + she wants diversty to win too lols. I dont want her too but im nearly sure she will.  xxx
148410,Got a stomach bug  This sucks.
62984,@stevegarfield Good Morning and have a Great time at Boston Media Makers 
275575,"tweeting on my new dsi, that after trade-ins cost me 40 bucks "
30386,#1 question during baby hospital tour: where can I plugin my laptop? &quot;pls don't unplug equipment.&quot; 
129698,mew in bandung delayed till november 
460325,who knows wut today will bring...its gonna get CRAZY ppl! 
62171,3:50 am - At the vet w/ hilton. He has a urinary obstruction. It requires surgery!  very $$$$. Not sure what I'm gonna do.
46182,@lzigman And we wonder why we rank so highly on most dangerous cities list 
99959,"@VAinParadise  You just know what to say, don't you Dawn?!?!    Thank you very much for that shout out! #followfriday"
369092,im going to my uncle's condo finally lol  xD
294069,"@ShaniBeeGirl Ohh you love coldplay don't you  Oh yeah that pic was ... wow! haha. Im good thnx, not doing much. Been up 2 much?"
111535,wooo..French Open 
342849,"@steveagee going to miss #TheAgee5K  - hopefully someone archives it-least I caught the test last night, which was fun."
205171,@RevRunWisdom We in Germany have a long weekend. So Monday no work  Guess I'll b relaxing &amp; enyoing the sun. Have a nice weekend urself.
131084,"@TreeHugger the TV set, followed by my fountain pen "
402346, the weather has been really bad. Bad enought to cut out our cable. 
483740,@jamie_oliver It's nice of you to say that 
376419,@kirselove HUGGGGGGGGG 
407452,Guess where I'll be this Saturday? Babysitting 4 kids. Guess where I WON'T be? At Matisyahu. 
142492,"@TranqJones No, thank YOU for making a difference in my life. "
252652,@chrisleben next week  did you get my email?
10625,"Headache, sick, tired how nice "
500991,icing my ankle 
322751,"i post a twit only on sundays, how sad is that "
105970,ready to play with PT this weekend!!!!  
242082,company is gone. miss them already. sad cheylo. 
522725,It's Nat's last dat @ QUT   Meanwhile...  Why would the bus choose not to use the busway to get to GP? now stuck on KG Road.
233391,@RedheadWriting Hope it heals quickly! 
498445,is really lookin forward 2 her birthday!! 2weeks 3days away!! What 2 wear though 
129214,"bahah, two days before my birthday, i'll be in the shittest mood ever! D: beware of seb on the 28th of April "
240180,"@calvinharris Calvin, do you have any cures for hangovers "
242958,By @testing1985 #-mazda 
48659,"@airynothing   Maybe change into them as soon as you get off the plane, before you get out of security? (Where are you going?)"
398475,riding bikes with my daddyy and little bro.  Missingggg my boooogggerr already. 
308020,Just had a very good dinner with a very good friend 
256658,Put the kids to bed and going to watch a movie with ed...and then im off to bed...Night Everyone 
101033,"@Peter_R_Casey Stick with me, kid, stay young forever! "
480411,just bought her first Tarina Tarantino necklace at Sanrio today! ♥ ♥ ♥  Half off RULES!
10669,tree planting in the AM 
313301,I've just found out that twitter's functions are too simple to delete a tweet i've just posted--OR i don't know how 
359443,tired..... so not looking forward 2 2nite 
145650,Lol u know i will 
350449,@RonniA and we weren't invited? 
444401,Today's weather is a bit better.. Gonna have lunch with the girls 
446933,@MGiraudOfficial it would be great if you sing georgia on my mind on tour! 
223854,@Colgo @Bern_morley @gracesux lol its only 2 points 
123,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow 
349348,"Being election worker today meas getting up at 7am, now waiting for my shift in the afternoon...  I wonder about voter participation"
437484,@marieiris Desperately Seeking Susan is WAY better than Footloose &amp; Dirty Dancing - imo. 
226423,meci si rma. both live and same time. meciul pe mute 
191938,"@therealpickler heya kellie, watch this http://bit.ly/6tKpI  and I'll vote for you on cmt "
315043,"Thunder and lightening, there goes my walk "
393426,"finally my ebook is done, but my sales page isn't yet.. well still if you feel buying (*risk) then go ahead. "
213007,"there's no me, without you "
469278,hanging out with jaxx tonight 
226613,"@Phee78 I've never had to do this before with a pet, I don't know how to handle it. I keep thinking stupid things, what 2 do w/ her toys "
215787,@ryanodonnell Power outage made me miss the Rev3 E3 live stream... 
